duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_class
138946,0,0.646,0.7,4,-7.449,1,0.122,0.597,0.0,0.0777,0.913,124.652,3,3
130240,0,0.383,0.114,2,-20.963,1,0.0416,0.597,0.117,0.103,0.283,115.088,4,1
179374,0,0.81,0.571,10,-7.189,0,0.085,0.0624,1.63e-06,0.094,0.771,125.994,4,1
212571,0,0.505,0.61,5,-5.673,0,0.0362,0.458,0.00194,0.104,0.189,140.013,4,3
171013,0,0.576,0.828,7,-4.792,1,0.0361,0.564,0.0,0.145,0.972,148.359,4,2
164093,0,0.714,0.721,9,-5.049,1,0.0783,0.273,0.245,0.174,0.415,83.021,4,4
148548,1,0.795,0.507,10,-7.188,1,0.0332,0.542,6.83e-06,0.116,0.784,120.009,4,4
388613,0,0.271,0.597,8,-4.128,0,0.0311,0.158,0.00135,0.246,0.0746,103.29,4,2
154983,0,0.724,0.744,7,-4.757,1,0.0398,0.00219,4.49e-06,0.116,0.645,119.978,4,1
155040,0,0.59,0.586,7,-9.158,1,0.0344,0.422,4.46e-05,0.337,0.729,91.17,4,4
168773,0,0.678,0.218,4,-13.084,1,0.0288,0.874,0.000697,0.125,0.652,110.964,3,4
237906,0,0.616,0.786,2,-4.778,1,0.0271,0.395,1.04e-06,0.154,0.455,89.091,4,2
232549,0,0.54,0.461,10,-9.427,0,0.0341,0.236,0.531,0.0865,0.107,89.995,4,3
238906,0,0.851,0.818,4,-4.637,1,0.0789,0.112,2.94e-06,0.0945,0.808,119.006,4,1
428266,0,0.524,0.951,4,-6.851,0,0.0559,0.00157,0.478,0.129,0.228,108.1,4,2
367462,0,0.451,0.491,3,-9.858,1,0.0398,0.643,0.00131,0.0801,0.288,153.768,4,4
215000,0,0.474,0.895,2,-4.443,0,0.0628,0.000254,0.000177,0.088,0.399,89.998,4,4
255333,0,0.694,0.569,0,-6.724,1,0.0244,0.131,1.67e-05,0.0888,0.661,103.997,4,1
